address,kept_as,retrieved_on,content_type,bytes,sha256
https://www.legislation.gov.uk/asp/2026/14/introduction/enacted,legislation/legislation-asp-2026-14-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26604,d41e9aba9fc2b7393a3457ce2c03d1543aa65dd0888207d3582feb2a17093ba7
https://www.legislation.gov.uk/asp/2026/15/introduction/enacted,legislation/legislation-asp-2026-15-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26548,fc685c30f39219be392c8f196946774f9a661cbcab0181adb56c733d478a34ab
https://www.legislation.gov.uk/asp/2026/16/introduction/enacted,legislation/legislation-asp-2026-16-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,25166,5e51c77690b2eb504fbf90eb5df4ae5a84f48dba2e4f1c717cc563ecb1c41eb2
https://www.legislation.gov.uk/asp/2026/17/introduction/enacted,legislation/legislation-asp-2026-17-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26595,59e7b53539d434b5921f37ce4492198fa76f9485749888d55e72170b50eb17b5
https://www.legislation.gov.uk/asp/2026/18/introduction/enacted,legislation/legislation-asp-2026-18-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26699,3cdc5327e080dc1b72b67e0ff54ece760a2bdc4ad5cfd03d95a357e3841f9355
https://www.legislation.gov.uk/asp/2026/19/introduction/enacted,legislation/legislation-asp-2026-19-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26449,8dd1e076da580bce7b7e460e45b3f3b4df14a7b3f6ff87f05f6d9e8f0e0b24ec
https://www.legislation.gov.uk/asp/2026/2/introduction/enacted,legislation/legislation-asp-2026-2-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26376,6468d5b2c2369515e505649409edc4e29cfc2a5465c69f328310d9f0dca0333d
https://www.parliament.scot/api/sitecore/CustomMedia/OfficialReport?meetingId=2733,official-report/parliament-official-report-meeting-2733_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,182156,02283a5f44fc5f77bedc2cdbe2d60b61cf0ed9ed30397c2eb91185ca80a1bc7b
https://www.parliament.scot/api/sitecore/CustomMedia/OfficialReport?meetingId=4805,official-report/parliament-official-report-meeting-4805_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,532856,aa31f3e93b1dadbf9f7c94d7b4f82640a98c4ede2775e0ac2232e5fc9ac2cd22
https://www.parliament.scot/api/sitecore/CustomMedia/OfficialReport?meetingId=4843,official-report/parliament-official-report-meeting-4843_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,385658,7b0c1e5e4c61caf912f20ffedddf8ddeb7c554ae63e31e4ace9a82eea16e5e9a
https://www.parliament.scot/api/sitecore/CustomMedia/OfficialReport?meetingId=6031,official-report/parliament-official-report-meeting-6031_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,886410,42eb1dcebd4c0207569e9c89828011f05d82a53e818f80bbbe49d582306c51ab
https://www.parliament.scot/api/sitecore/CustomMedia/OfficialReport?meetingId=6093,official-report/parliament-official-report-meeting-6093_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,735603,9ba341513c04618008b7e54d082376aef18e103750e88465716b3f11c0168900
